ID; Station ; longitude; latitude; easting;northing; zone
1;4441;8,417460701;49,0097220091;457400;5428700;32
2;4443;8,3532056609;49,0084801456;452700;5428600;32
3;4444;8,3543170735;49,0282768376;452800;5430800;32
4;4445;8,4057289893;49,0762297469;456600;5436100;32
5;4449;9,1716653272;48,8248527716;512600;5408000;32
6;4451;9,2652872753;48,7518080604;519500;5399900;32
7;4452;9,2288129784;48,8085608658;516800;5406200;32
8;4453;8,6759817507;49,4191242313;476500;5474100;32
9;4461;9,2235912636;49,1647987286;516300;5445800;32
10;4462;7,8309921779;48,0012473492;412800;5317100;32
11;4463;9,1719177857;48,8986182728;512600;5416200;32
12;4467;7,76450397;47,8098034368;407500;5295900;32
13;4470;9,207067991;48,4883381351;515300;5370600;32
14;4471;9,4861184827;47,6597641386;536500;5278600;32
15;4473;8,4768388161;49,4750630878;462100;5480400;32
16;39253;9,2268591264;48,6772227065;516700;5391600;32
17;47650;9,2064879122;48,3452942126;515300;5354700;32
18;53277;8,3860330121;49,0077599258;455100;5428500;32
19;55006;9,1796887169;48,7825596733;513200;5403300;32
20;76118;8,7529679143;49,4642890092;482100;5479100;32
21;76359;9,1896178118;48,8886951596;513900;5415100;32
22;76361;9,1905993198;48,7879397233;514000;5403900;32
23;76362;9,1837200013;48,7681597584;513500;5401700;32
24;76363;9,1743402399;48,8104553047;512800;5406400;32
25;76364;9,209778454;48,4892328698;515500;5370700;32
26;76413;9,2192556476;48,8031818826;516100;5405600;32
27;9999136;9,1701051005;48,76638146;512500;5401500;32
28;9999137;9,1715149567;48,7807729334;512600;5403100;32
29;9999139;9,1701020623;48,7654818656;512500;5401400;32
