Stationsnummer;Messstelle;Komponente;Einheit;Messhöhe über Grund in m;Höhe der Messstation über NN in m;PLZ;Ort;Straße;Ost;Nord;Inbetriebnahme Datum;Stilllege Datum;Aktiv (Y/N)
39253;Bernhausen;Globalstrahlung;W/m²;NA;370;70794;Bernhausen;Heubergstraße;516700;5391600;1989-12-01;NA;Ja
39253;Bernhausen;Kohlenmonoxid;mg/m³;4;370;70794;Bernhausen;Heubergstraße;516700;5391600;1989-12-01;NA;Ja
39253;Bernhausen;Kohlenmonoxid;mg/m³;0;370;70794;Bernhausen;Heubergstraße;516700;5391600;1989-12-01;NA;Ja
39253;Bernhausen;Niederschlag;mm;NA;370;70794;Bernhausen;Heubergstraße;516700;5391600;1989-12-01;NA;Ja
39253;Bernhausen;Ozon;µg/m³;NA;370;70794;Bernhausen;Heubergstraße;516700;5391600;1989-12-01;NA;Ja
39253;Bernhausen;Schwebstaub PM 10 (Gravimetrie);µg/m³;NA;370;70794;Bernhausen;Heubergstraße;516700;5391600;1989-12-01;NA;Ja
39253;Bernhausen;Schwebstaub PM 10 (Streulicht);µg/m³;NA;370;70794;Bernhausen;Heubergstraße;516700;5391600;1989-12-01;NA;Ja
39253;Bernhausen;Schwefeldioxid;µg/m³;0;370;70794;Bernhausen;Heubergstraße;516700;5391600;1989-12-01;NA;Ja
39253;Bernhausen;Schwefeldioxid;µg/m³;4;370;70794;Bernhausen;Heubergstraße;516700;5391600;1989-12-01;NA;Ja
39253;Bernhausen;Stickstoffdioxid;µg/m³;NA;370;70794;Bernhausen;Heubergstraße;516700;5391600;1989-12-01;NA;Ja
39253;Bernhausen;Stickstoffmonoxid;µg/m³;NA;370;70794;Bernhausen;Heubergstraße;516700;5391600;1989-12-01;NA;Ja
39253;Bernhausen;Temperatur;°C;NA;370;70794;Bernhausen;Heubergstraße;516700;5391600;1989-12-01;NA;Ja
39253;Bernhausen;Windgeschwindigkeit;m/s;NA;370;70794;Bernhausen;Heubergstraße;516700;5391600;1989-12-01;NA;Ja
39253;Bernhausen;Windrichtung;°;NA;370;70794;Bernhausen;Heubergstraße;516700;5391600;1989-12-01;NA;Ja
4445;Eggenstein;Globalstrahlung;W/m²;NA;109;76344;Eggenstein;Gewann Zigeunerschlag;456600;5436100;1976-09-01;NA;Ja
4445;Eggenstein;Kohlenmonoxid;mg/m³;4;109;76344;Eggenstein;Gewann Zigeunerschlag;456600;5436100;1976-09-01;NA;Ja
4445;Eggenstein;Kohlenmonoxid;mg/m³;0;109;76344;Eggenstein;Gewann Zigeunerschlag;456600;5436100;1976-09-01;NA;Ja
4445;Eggenstein;Luftdruck;mbar;NA;109;76344;Eggenstein;Gewann Zigeunerschlag;456600;5436100;1976-09-01;NA;Ja
4445;Eggenstein;Niederschlag;mm;NA;109;76344;Eggenstein;Gewann Zigeunerschlag;456600;5436100;1976-09-01;NA;Ja
4445;Eggenstein;Ozon;µg/m³;NA;109;76344;Eggenstein;Gewann Zigeunerschlag;456600;5436100;1976-09-01;NA;Ja
4445;Eggenstein;Schwebstaub PM 10 (Gravimetrie);µg/m³;NA;109;76344;Eggenstein;Gewann Zigeunerschlag;456600;5436100;1976-09-01;NA;Ja
4445;Eggenstein;Schwebstaub PM 10 (Streulicht);µg/m³;NA;109;76344;Eggenstein;Gewann Zigeunerschlag;456600;5436100;1976-09-01;NA;Ja
4445;Eggenstein;Schwefeldioxid;µg/m³;NA;109;76344;Eggenstein;Gewann Zigeunerschlag;456600;5436100;1976-09-01;NA;Ja
4445;Eggenstein;Schwefeldioxid;µg/m³;0;109;76344;Eggenstein;Gewann Zigeunerschlag;456600;5436100;1976-09-01;NA;Ja
4445;Eggenstein;Stickstoffdioxid;µg/m³;NA;109;76344;Eggenstein;Gewann Zigeunerschlag;456600;5436100;1976-09-01;NA;Ja
4445;Eggenstein;Stickstoffmonoxid;µg/m³;NA;109;76344;Eggenstein;Gewann Zigeunerschlag;456600;5436100;1976-09-01;NA;Ja
4445;Eggenstein;Temperatur;°C;NA;109;76344;Eggenstein;Gewann Zigeunerschlag;456600;5436100;1976-09-01;NA;Ja
4445;Eggenstein;Windgeschwindigkeit;m/s;NA;109;76344;Eggenstein;Gewann Zigeunerschlag;456600;5436100;1976-09-01;NA;Ja
4445;Eggenstein;Windrichtung;°;NA;109;76344;Eggenstein;Gewann Zigeunerschlag;456600;5436100;1976-09-01;NA;Ja
