"";"Station";"LON";"LAT";"zone"
"1";"4441";457400;5428700;32
"2";"4443";452700;5428600;32
"3";"4444";452800;5430800;32
"4";"4445";456600;5436100;32
"5";"4449";512600;5408000;32
"6";"4451";519500;5399900;32
"7";"4452";516800;5406200;32
"8";"4453";476500;5474100;32
"9";"4461";516300;5445800;32
"10";"4462";412800;5317100;32
"11";"4463";512600;5416200;32
"12";"4467";407500;5295900;32
"13";"4470";515300;5370600;32
"14";"4471";536500;5278600;32
"15";"4473";462100;5480400;32
"16";"39253";516700;5391600;32
"17";"47650";515300;5354700;32
"18";"53277";455100;5428500;32
"19";"55006";513200;5403300;32
"20";"76118";482100;5479100;32
"21";"76359";513900;5415100;32
"22";"76361";514000;5403900;32
"23";"76362";513500;5401700;32
"24";"76363";512800;5406400;32
"25";"76364";515500;5370700;32
"26";"76413";516100;5405600;32
"27";"9999136";512500;5401500;32
"28";"9999137";512600;5403100;32
"29";"9999139";512500;5401400;32
