northing,easting,zone
5428700,457400,32
5428600,452700,32
5430800,452800,32
5436100,456600,32
5408000,512600,32
5399900,519500,32
5406200,516800,32
5474100,476500,32
5445800,516300,32
5317100,412800,32
5416200,512600,32
5295900,407500,32
5370600,515300,32
5278600,536500,32
5480400,462100,32
5391600,516700,32
5354700,515300,32
5428500,455100,32
5403300,513200,32
5479100,482100,32
5415100,513900,32
5403900,514000,32
5401700,513500,32
5406400,512800,32
5370700,515500,32
5405600,516100,32
5401500,512500,32
5403100,512600,32
5401400,512500,32
