"";"Stationsnummer";"Messstelle";"northing";"easting";"longitude";"latitude"
"1";"4441";"Karlsruhe-Mitte";5428700;457400;8,41746070098729;49,0097220091307
"2";"4443";"Karlsruhe-West";5428600;452700;8,35320566087173;49,008480145603
"3";"4444";"Karlsruhe-Nordwest";5430800;452800;8,35431707345473;49,0282768376257
"4";"4445";"Eggenstein";5436100;456600;8,40572898925292;49,0762297468915
"5";"4449";"Stuttgart-Zuffenhausen";5408000;512600;9,17166532721259;48,8248527715842
"6";"4451";"Stuttgart-Hafen";5399900;519500;9,26528727530559;48,7518080604185
"7";"4452";"Stuttgart-Bad Cannstatt";5406200;516800;9,22881297843188;48,8085608658
"8";"4453";"Heidelberg";5474100;476500;8,67598175066064;49,4191242313279
"9";"4461";"Heilbronn";5445800;516300;9,22359126358104;49,1647987285742
"10";"4462";"Freiburg";5317100;412800;7,83099217790178;48,0012473491653
"11";"4463";"Ludwigsburg";5416200;512600;9,17191778566112;48,8986182727657
"12";"4467";"Schwarzwald-Süd";5295900;407500;7,76450397000459;47,809803436802
"13";"4470";"Reutlingen";5370600;515300;9,20706799103581;48,4883381350526
"14";"4471";"Friedrichshafen";5278600;536500;9,48611848271066;47,6597641386428
"15";"4473";"Mannheim-Mitte";5480400;462100;8,47683881611947;49,4750630878082
"16";"39253";"Bernhausen";5391600;516700;9,22685912643571;48,6772227064591
"17";"47650";"Schwäbische Alb";5354700;515300;9,20648791224063;48,3452942125541
"18";"53277";"Karlsruhe Reinhold-Frank-Straße";5428500;455100;8,38603301206714;49,00775992576
"19";"55006";"Stuttgart Arnulf-Klett-Platz";5403300;513200;9,17968871689861;48,7825596733149
"20";"76118";"Odenwald";5479100;482100;8,75296791427101;49,4642890091814
"21";"76359";"Ludwigsburg Friedrichstraße";5415100;513900;9,18961781184946;48,8886951596406
"22";"76361";"Stuttgart Am Neckartor";5403900;514000;9,19059931981732;48,78793972332
"23";"76362";"Stuttgart Hohenheimer Straße";5401700;513500;9,18372000134405;48,7681597583895
"24";"76363";"Stuttgart Siemensstraße";5406400;512800;9,17434023987998;48,8104553047183
"25";"76364";"Reutlingen Lederstraße-Ost";5370700;515500;9,20977845395115;48,4892328697546
"26";"76413";"Stuttgart Waiblinger Straße";5405600;516100;9,21925564757019;48,8031818826493
"27";"9999136";"Stuttgart Hauptstätter Straße";5401500;512500;9,17010510054743;48,7663814599812
"28";"9999137";"Stuttgart Stadtgarten";5403100;512600;9,17151495665841;48,7807729334254
"29";"9999139";"Stuttgart Hauptstätter Straße-West";5401400;512500;9,17010206228879;48,7654818655917
